state_names_obs,obs_units,obs_sd,target_variable,distance_threshold,
temp,degC,0.0782,temperature,0.15,0.5
OXY_oxy,mmol m-3,1.73,oxygen,0.15,21
CAR_dic,mmol m-3,5,DIC,0.15,10
CAR_ch4,mmol m-3,0.5,CH4,0.15,1
NIT_amm,mmol m-3,0.5,NH4,0.15,1
NIT_nit,mmol m-3,0.05,NO3NO2,0.15,0.1
NIT_total,mmol m-3,1.5,TN,0.15,3
PHS_frp,mmol m-3,0.05,SRP,0.15,0.1
PHS_total,mmol m-3,0.15,TP,0.15,0.3
OGM_doc_total,mmol m-3,2.69,fdom,0.15,81.82
PHY_TCHLA,ug L,0.274,chla,0.15,0.97
