state_names,initial_conditions,model_sd,vert_decorr_length,initial_model_sd,states_to_obs_1,states_to_obs_mapping_1,states_to_obs_2,states_to_obs_mapping_2,states_to_obs_3,states_to_obs_mapping_3,init_obs_name,init_obs_mapping,,log
temp,20,1.35,2,0.01,temp,1,NA,NA,NA,NA,temp,1,1.35,FALSE
OXY_oxy,200,10,2,20,OXY_oxy,1,NA,NA,NA,NA,OXY_oxy,1,41,TRUE
